AnimalID,Name,DateTime,FoundLocation,Latitude,Longitude,IntakeType,IntakeCondition,AnimalType,IntakeSex,IntakeAge,Breed
A764551,*Pringle,1/1/18 13:31,North Lamar And West Parmer Lane in Austin (TX),30.4077698,-97.6782286,Stray,Normal,Dog,Intact Female,5 months,Pit Bull Mix
A732095,Lincoln,1/2/18 12:41,Austin (TX),30.267153,-97.7430608,Stray,Normal,Dog,Neutered Male,3 years,Pit Bull Mix
A752481,Rock,1/2/18 14:42,3800 E 16Th St in Austin (TX),30.281283,-97.693155,Public Assist,Normal,Dog,Intact Male,2 years,Mastiff/Pit Bull
A764597,*Ebony,1/2/18 15:12,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Intact Female,2 years,Pit Bull Mix
A764602,Boscoe,1/2/18 15:53,1922 Gracy Farms Ln #B in Austin (TX),30.3984381,-97.7039742,Public Assist,Normal,Dog,Intact Male,5 years,Pit Bull Mix
A764572,Tyson,1/2/18 16:10,Austin (TX),30.267153,-97.7430608,Public Assist,Normal,Dog,Neutered Male,5 years,Pit Bull Mix
A764624,Popcorn,1/2/18 19:21,3204 Wickham Ln in Austin (TX),30.2321982,-97.5942048,Public Assist,Normal,Dog,Intact Male,1 year,Pit Bull Mix
A764651,Bino,1/3/18 13:49,1800 E Stassney in Austin (TX),30.1979,-97.761425,Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix
A764653,Gordy,1/3/18 13:57,2725 Lyle Dr in Austin (TX),30.2097811,-97.65022,Stray,Sick,Dog,Intact Female,14 years,Pit Bull Mix
A764672,Nova,1/3/18 16:51,7601 Daffan Ln in Austin (TX),30.3163875,-97.6245196,Stray,Normal,Dog,Intact Male,3 years,Pit Bull/Basset Hound
A764682,*Hamlet,1/3/18 22:49,1236 Porterfield Dr in Austin (TX),30.4002512,-97.6495766,Stray,Injured,Dog,Intact Male,1 year,Pit Bull Mix
A741374,*Pavarotti,1/4/18 11:58,300 Ferguson Dr Unit 204 in Austin (TX),30.3764322,-97.6855684,Stray,Normal,Dog,Intact Male,4 years,Pit Bull Mix
A764698,*Tigger,1/4/18 11:58,300 Ferguson Dr Unit 204 in Austin (TX),30.3764322,-97.6855684,Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix
A764697,*Happy,1/4/18 11:58,300 Ferguson Dr Unit 204 in Austin (TX),30.3764322,-97.6855684,Stray,Normal,Dog,Intact Male,6 months,Pit Bull Mix
A764711,*Pearl,1/4/18 14:20,Howard Lane And Interstate 35 in Austin (TX),30.4243431,-97.6711588,Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix
A741289,Chiquita,1/4/18 15:55,1127 Saucedo St in Austin (TX),30.2675215,-97.6890032,Stray,Normal,Dog,Intact Female,3 years,Pit Bull Mix
A667190,Money,1/4/18 15:55,1127 Saucedo St in Austin (TX),30.2675215,-97.6890032,Public Assist,Normal,Dog,Intact Male,5 years,Pit Bull Mix
A764721,Xena,1/5/18 7:06,1402 Meadowmear Dr in Austin (TX),30.3597846,-97.6718308,Stray,Normal,Dog,Spayed Female,2 years,American Pit Bull Terrier Mix
A738563,Daisy,1/5/18 9:56,Johnny Morris Rd in Austin (TX),30.3083511,-97.6429539,Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix
A764732,*Figaro,1/5/18 10:57,1500 Alameda Drive in Austin (TX),30.2467595,-97.743978,Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix
A716145,Rocky,1/5/18 14:06,5010 Edenbourgh Ln in Austin (TX),30.3341126,-97.6469913,Stray,Normal,Dog,Neutered Male,4 years,Pit Bull Mix
A715645,*Jolly,1/5/18 16:46,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Spayed Female,3 years,Pit Bull Mix
A764764,Tux,1/5/18 17:32,Old Lockhart Road And Carl Road in Travis (TX),30.1115609,-97.7492005,Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix
A736335,Lola,1/6/18 10:34,Loyola Ln And Bridgewater Cove in Austin (TX),30.3049905,-97.6645658,Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix
A764783,Bruce,1/6/18 12:56,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Neutered Male,2 years,Pit Bull Mix
A764788,*Piper,1/6/18 14:06,4901 Edenbourgh Ln in Travis (TX),30.3343232,-97.648456,Stray,Normal,Dog,Intact Female,6 months,Pit Bull Mix
A764787,,1/6/18 14:06,4901 Edenbourgh Ln in Travis (TX),30.3343232,-97.648456,Stray,Normal,Dog,Intact Male,6 months,Pit Bull Mix
A759173,*Petey,1/6/18 18:02,Tayside Drive And Harris Ridge Boulevard in Pflugerville (TX),30.4133067,-97.6461105,Stray,Normal,Dog,Neutered Male,11 months,Pit Bull Mix
A764831,,1/7/18 8:39,4434  Frontier Trl in Austin (TX),30.23144,-97.795757,Stray,Injured,Dog,Intact Male,10 months,Pit Bull Mix
A735302,Louie,1/7/18 11:08,706 Jett Court in Austin (TX),30.3886454,-97.6826002,Stray,Normal,Dog,Neutered Male,4 years,Pit Bull Mix
A737854,Zeus,1/7/18 13:00,Manor (TX),30.3407629,-97.5569456,Owner Surrender,Normal,Dog,Spayed Female,1 year,German Shepherd/Pit Bull
A764866,Sancho,1/8/18 10:20,13431 Klaus Lane in Travis (TX),30.3591139,-97.4266955,Stray,Normal,Dog,Intact Male,2 years,American Pit Bull Terrier Mix
A650409,Cricket,1/8/18 12:32,Austin (TX),30.267153,-97.7430608,Stray,Normal,Dog,Spayed Female,5 years,Australian Kelpie/Pit Bull
A746625,Blue,1/8/18 15:52,1201 Payton Gin in Austin (TX),30.3602094,-97.7083219,Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix
A755728,Rex,1/9/18 12:28,4435 South Lamar Boulevard in Austin (TX),30.231768,-97.7962666,Stray,Normal,Dog,Neutered Male,1 year,Pit Bull Mix
A764928,*Natasha,1/9/18 12:38,6100 Caddie in Austin (TX),30.2286559,-97.7044938,Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix
A764945,,1/9/18 15:55,6620 Blue Bluff Rd in Austin (TX),30.2814032,-97.6096194,Stray,Injured,Dog,Intact Male,4 years,Pit Bull Mix
A764976,Bailey,1/10/18 12:24,Vargas Drive And East Riverside in Austin (TX),30.2239684,-97.7011655,Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix
A699529,Keyshia,1/10/18 15:02,5006 Heflin in Austin (TX),30.284191,-97.6789537,Stray,Normal,Dog,Spayed Female,3 years,Pit Bull Mix
A760711,Louie,1/10/18 15:09,8210 Bent Tree Rd in Austin (TX),30.369821,-97.744975,Public Assist,Normal,Dog,Neutered Male,2 years,Pit Bull Mix
A764999,Kitana,1/10/18 17:16,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Intact Female,6 years,Pit Bull Mix
A764719,Jack,1/10/18 18:58,6111 Bee Caves Road in Austin (TX),30.2955898,-97.8299551,Stray,Normal,Dog,Intact Male,10 months,Pit Bull Mix
A765006,Killer,1/11/18 12:59,8220 Research Blvd in Austin (TX),30.3555328,-97.7161302,Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix
A765026,Tank,1/11/18 14:38,1144 Airport Boulevard in Austin (TX),30.2722056,-97.6982871,Stray,Normal,Dog,Intact Male,3 months,Pit Bull Mix
A765030,Cujo,1/11/18 15:41,5701 Gloucester in Austin (TX),30.3034627,-97.6786993,Stray,Normal,Dog,Intact Male,8 months,Pit Bull Mix
A765036,*Shirley,1/11/18 18:01,18300 Belfry Pass in Travis (TX),30.3171325,-97.5302814,Stray,Injured,Dog,Intact Female,3 years,Pit Bull Mix
A765035,*Sox,1/11/18 18:01,18300 Belfry Pass in Travis (TX),30.3171325,-97.5302814,Stray,Injured,Dog,Intact Male,7 months,Pit Bull Mix
A765046,*Leon,1/12/18 9:47,Stonleigh in Austin (TX),30.181842,-97.7617881,Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix
A765049,*Pretzel,1/12/18 11:01,18216 Flathead Dr in Travis (TX),30.3129207,-97.5332118,Stray,Normal,Dog,Intact Male,10 months,Pit Bull Mix
A742662,Rocky,1/12/18 11:04,Austin (TX),30.267153,-97.7430608,Public Assist,Normal,Dog,Neutered Male,2 years,Pit Bull Mix
